地图、NPC、物品等各常用数据表代号、名字汇总 

--------------------------------------------------------------------------------
 



地图

代号　　地图名称
100001 浮影水城
100014 浮影水城外郊
100011 青风原
300036 西雪岭
100010 四桥原
100029 水城宠物店
100031 水城当铺
100032 水城客栈
100033 水城十七联号
100000 水城药店
100034 水城饰物店
100028 松竹林
100017 闲情园
100016 明月桥
100012 剑池谷
100025 断魂涯
100027 石壁洞口
700013 凰之谷
100087 吓死人洞窟2
100018 西码头
100004 树城宠物店
100005 树城客栈
100030 水城宠物店
100007 树城饰物店
100006 树城药店
100021 枯井原
100020 观日桥
100019 观日桥头
300010 踏雪原
100026 断壁
100061 猎人洞窟
700090 怨灵洞
200005 怨灵洞口
200066 团P比赛
200006 绿洲东郊
200039 青之绿洲
200009 金轮谷
200010 落雁谷
100009 将军碑谷
100042 华山脚
100043 华山亭
100044 华山腰道
100045 华山瀑布
100047 华山顶
100035 武当前山
100036 武当后院门
100037 武当后院
100038 武当炼丹房
100039 武当练功房
100040 三清殿
100041 紫宵宫
100002 凝露山城
100092 寒月台
100049 名剑山庄前厅
100050 名剑山庄书房
100051 名剑山庄练功房
100052 名剑山庄中院
100053 名剑山庄右厢房
100054 名剑山庄左厢房
100057 山城客栈
100056 山城当铺
100060 山城珠宝店
100059 山城药店
100055 山城宠兽店
100058 山城杂货铺
200001 卧佛沙城
200025 沙城宠物店
200026 沙城杂货铺
600112 彩虹桥
200028 沙城客栈
200029 沙城当铺
200000 沙城药店
200030 珠宝珠宝店
200019 情人谷
200031 梦佛窟
200020 赏月谷
200040 绿幽洞
200041 巨菇洞
200042 青灵洞
200008 银罐谷
200012 羁马谷
200043 古铜洞窟
200044 紫苔洞窟
200045 金钟洞窟
200047 古铜洞窟2
200048 青铜洞窟
200050 碧水洞窟
200051 盘龙洞窟
200052 紫苔洞窟2
200053 黄铜洞窟2
200054 石笋洞窟
200055 盘龙洞窟2
200013 酒鬼冢
200023 流沙原
200022 遗恨原
200056 古城遗址
200057 沉没的城市
200058 地牢
200059 悬台
200017 净沙原
800005 GM活动地图
200024 沙盗洞口
200032 铜人殿
200033 囚塔一层
200034 囚塔二层
200035 石窟1
200036 石窟2
200037 石窟3
200038 石窟4
100093 枯井
100003 迷雾榕城
600001 剥皮地狱
600002 钉板地狱
600003 聋耳地狱
600004 暴走地狱
600000 冰封地狱
600006 绞肉地狱
600007 炉烧地狱
600008 辗肢地狱
600009 炮烙地狱
600010 旋割地狱
600011 吊烤地狱
600012 钉床地狱
600013 磨骨地狱
600014 铡头地狱
600015 污秽地狱
600016 天灯地狱
600017 焰浆地狱
600018 油锅地狱
100062 藏经阁
100063 千佛殿
100064 方丈室
100065 寝室
100066 戒律院
100067 少林寺前院
100068 少林寺中院
100069 少林寺后院
100070 天王殿
100071 斋室
700000 徘徊林
700001 榕盘谷
700002 独孤亭
700003 晚枫林
700004 斑鸠小舍
700005 回首亭
700006 守望林场
100208 百草池
700008 双印谷
700009 不归海岸
